file,author,title,volume,source_xml,chars,words
CLTK__Appvergcomp__Appvergcomp.txt,Appvergcomp,Appvergcomp,,appvergcomp.txt,113539,16097
CLTK__Appvergculex__Appvergculex.txt,Appvergculex,Appvergculex,,appvergculex.txt,19420,2729
CLTK__Apuleius__Apuleius_Apol.txt,Apuleius,Apuleius Apol,,apuleius/apuleius.apol.txt,163564,24503
CLTK__Apuleius__Apuleius_Cupid.txt,Apuleius,Apuleius Cupid,,apuleius/apuleius.cupid.txt,66217,9018
CLTK__Apuleius__Apuleius_Deosocratis.txt,Apuleius,Apuleius Deosocratis,,apuleius/apuleius.deosocratis.txt,33374,4671
CLTK__Apuleius__Apuleius_Dog1.txt,Apuleius,Apuleius Dog1,,apuleius/apuleius.dog1.txt,25948,3466
CLTK__Apuleius__Apuleius_Dog2.txt,Apuleius,Apuleius Dog2,,apuleius/apuleius.dog2.txt,38902,5430
CLTK__Apuleius__Apuleius_Florida.txt,Apuleius,Apuleius Florida,,apuleius/apuleius.florida.txt,57132,7945
CLTK__Apuleius__Apuleius_Mundo.txt,Apuleius,Apuleius Mundo,,apuleius/apuleius.mundo.txt,47849,6560
CLTK__Apuleius__Apuleius1.txt,Apuleius,Apuleius1,,apuleius/apuleius1.txt,28866,4144
CLTK__Apuleius__Apuleius10.txt,Apuleius,Apuleius10,,apuleius/apuleius10.txt,44004,5805
CLTK__Apuleius__Apuleius11.txt,Apuleius,Apuleius11,,apuleius/apuleius11.txt,38235,5022
CLTK__Apuleius__Apuleius2.txt,Apuleius,Apuleius2,,apuleius/apuleius2.txt,35103,4958
CLTK__Apuleius__Apuleius3.txt,Apuleius,Apuleius3,,apuleius/apuleius3.txt,30474,4232
CLTK__Apuleius__Apuleius4.txt,Apuleius,Apuleius4,,apuleius/apuleius4.txt,39062,5244
CLTK__Apuleius__Apuleius5.txt,Apuleius,Apuleius5,,apuleius/apuleius5.txt,34120,4693
CLTK__Apuleius__Apuleius6.txt,Apuleius,Apuleius6,,apuleius/apuleius6.txt,33437,4592
CLTK__Apuleius__Apuleius7.txt,Apuleius,Apuleius7,,apuleius/apuleius7.txt,31301,4222
CLTK__Apuleius__Apuleius8.txt,Apuleius,Apuleius8,,apuleius/apuleius8.txt,37024,4901
CLTK__Apuleius__Apuleius9.txt,Apuleius,Apuleius9,,apuleius/apuleius9.txt,49987,6626
CLTK__Aquinas__Corpuschristi.txt,Aquinas,Corpuschristi,,aquinas/corpuschristi.txt,734,105
CLTK__Aquinas__Ente.txt,Aquinas,Ente,,aquinas/ente.txt,49596,7356
CLTK__Aquinas__Epist.txt,Aquinas,Epist,,aquinas/epist.txt,1445,205
CLTK__Aquinas__Expositio.txt,Aquinas,Expositio,,aquinas/expositio.txt,43774,6875
CLTK__Aquinas__P1.txt,Aquinas,P1,,aquinas/p1.txt,4644,606
CLTK__Aquinas__Princ.txt,Aquinas,Princ,,aquinas/princ.txt,10596,1531
CLTK__Aquinas__Prologus.txt,Aquinas,Prologus,,aquinas/prologus.txt,1352,176
CLTK__Aquinas__Q1_1.txt,Aquinas,Q1 1,,aquinas/q1.1.txt,33806,4744
CLTK__Aquinas__Q1_10.txt,Aquinas,Q1 10,,aquinas/q1.10.txt,24696,3613
CLTK__Aquinas__Q1_11.txt,Aquinas,Q1 11,,aquinas/q1.11.txt,14871,2281
CLTK__Aquinas__Q1_12.txt,Aquinas,Q1 12,,aquinas/q1.12.txt,53339,7747
CLTK__Aquinas__Q1_13.txt,Aquinas,Q1 13,,aquinas/q1.13.txt,60367,8842
CLTK__Aquinas__Q1_14.txt,Aquinas,Q1 14,,aquinas/q1.14.txt,67641,9960
CLTK__Aquinas__Q1_15.txt,Aquinas,Q1 15,,aquinas/q1.15.txt,12314,1856
CLTK__Aquinas__Q1_16.txt,Aquinas,Q1 16,,aquinas/q1.16.txt,28173,4263
CLTK__Aquinas__Q1_17.txt,Aquinas,Q1 17,,aquinas/q1.17.txt,16056,2417
CLTK__Aquinas__Q1_18.txt,Aquinas,Q1 18,,aquinas/q1.18.txt,18728,2858
CLTK__Aquinas__Q1_19.txt,Aquinas,Q1 19,,aquinas/q1.19.txt,49076,7361
CLTK__Aquinas__Q1_2.txt,Aquinas,Q1 2,,aquinas/q1.2.txt,15201,2380
CLTK__Aquinas__Q1_20.txt,Aquinas,Q1 20,,aquinas/q1.20.txt,18074,2787
CLTK__Aquinas__Q1_21.txt,Aquinas,Q1 21,,aquinas/q1.21.txt,15373,2225
CLTK__Aquinas__Q1_22.txt,Aquinas,Q1 22,,aquinas/q1.22.txt,19191,2705
CLTK__Aquinas__Q1_23.txt,Aquinas,Q1 23,,aquinas/q1.23.txt,38112,5367
CLTK__Aquinas__Q1_24.txt,Aquinas,Q1 24,,aquinas/q1.24.txt,9751,1480
CLTK__Aquinas__Q1_25.txt,Aquinas,Q1 25,,aquinas/q1.25.txt,27907,4173
CLTK__Aquinas__Q1_26.txt,Aquinas,Q1 26,,aquinas/q1.26.txt,8252,1148
CLTK__Aquinas__Q1_27.txt,Aquinas,Q1 27,,aquinas/q1.27.txt,19769,2891
CLTK__Aquinas__Q1_28.txt,Aquinas,Q1 28,,aquinas/q1.28.txt,19129,2824
CLTK__Aquinas__Q1_29.txt,Aquinas,Q1 29,,aquinas/q1.29.txt,23733,3342
CLTK__Aquinas__Q1_3.txt,Aquinas,Q1 3,,aquinas/q1.3.txt,29268,4567
CLTK__Aquinas__Q1_30.txt,Aquinas,Q1 30,,aquinas/q1.30.txt,19300,2789
CLTK__Aquinas__Q1_31.txt,Aquinas,Q1 31,,aquinas/q1.31.txt,18518,2727
CLTK__Aquinas__Q1_32.txt,Aquinas,Q1 32,,aquinas/q1.32.txt,22707,3229
CLTK__Aquinas__Q1_33.txt,Aquinas,Q1 33,,aquinas/q1.33.txt,19386,2829
CLTK__Aquinas__Q1_34.txt,Aquinas,Q1 34,,aquinas/q1.34.txt,17612,2558
CLTK__Aquinas__Q1_35.txt,Aquinas,Q1 35,,aquinas/q1.35.txt,6419,964
CLTK__Aquinas__Q1_36.txt,Aquinas,Q1 36,,aquinas/q1.36.txt,27710,4120
CLTK__Aquinas__Q1_37.txt,Aquinas,Q1 37,,aquinas/q1.37.txt,13245,1946
CLTK__Aquinas__Q1_38.txt,Aquinas,Q1 38,,aquinas/q1.38.txt,7355,1141
CLTK__Aquinas__Q1_39.txt,Aquinas,Q1 39,,aquinas/q1.39.txt,46952,6821
CLTK__Aquinas__Q1_4.txt,Aquinas,Q1 4,,aquinas/q1.4.txt,12379,1844
CLTK__Aquinas__Q1_40.txt,Aquinas,Q1 40,,aquinas/q1.40.txt,19124,2621
CLTK__Aquinas__Q1_41.txt,Aquinas,Q1 41,,aquinas/q1.41.txt,28392,4173
CLTK__Aquinas__Q1_42.txt,Aquinas,Q1 42,,aquinas/q1.42.txt,25903,3824
CLTK__Aquinas__Q1_43.txt,Aquinas,Q1 43,,aquinas/q1.43.txt,31216,4498
CLTK__Aquinas__Q1_44.txt,Aquinas,Q1 44,,aquinas/q1.44.txt,15423,2280
CLTK__Aquinas__Q1_45.txt,Aquinas,Q1 45,,aquinas/q1.45.txt,34176,4990
CLTK__Aquinas__Q1_46.txt,Aquinas,Q1 46,,aquinas/q1.46.txt,23621,3512
CLTK__Aquinas__Q1_47.txt,Aquinas,Q1 47,,aquinas/q1.47.txt,13439,1958
CLTK__Aquinas__Q1_48.txt,Aquinas,Q1 48,,aquinas/q1.48.txt,25097,3774
CLTK__Aquinas__Q1_49.txt,Aquinas,Q1 49,,aquinas/q1.49.txt,15175,2327
CLTK__Aquinas__Q1_5.txt,Aquinas,Q1 5,,aquinas/q1.5.txt,22253,3405
CLTK__Aquinas__Q1_50.txt,Aquinas,Q1 50,,aquinas/q1.50.txt,24820,3502
CLTK__Aquinas__Q1_51.txt,Aquinas,Q1 51,,aquinas/q1.51.txt,14968,2138
CLTK__Aquinas__Q1_52.txt,Aquinas,Q1 52,,aquinas/q1.52.txt,7998,1244
CLTK__Aquinas__Q1_53.txt,Aquinas,Q1 53,,aquinas/q1.53.txt,16866,2605
CLTK__Aquinas__Q1_54.txt,Aquinas,Q1 54,,aquinas/q1.54.txt,16613,2430
CLTK__Aquinas__Q1_55.txt,Aquinas,Q1 55,,aquinas/q1.55.txt,13492,1924
CLTK__Aquinas__Q1_56.txt,Aquinas,Q1 56,,aquinas/q1.56.txt,13256,1907
CLTK__Aquinas__Q1_57.txt,Aquinas,Q1 57,,aquinas/q1.57.txt,23339,3299
CLTK__Aquinas__Q1_58.txt,Aquinas,Q1 58,,aquinas/q1.58.txt,25518,3620
CLTK__Aquinas__Q1_59.txt,Aquinas,Q1 59,,aquinas/q1.59.txt,16097,2350
CLTK__Aquinas__Q1_6.txt,Aquinas,Q1 6,,aquinas/q1.6.txt,11704,1809
CLTK__Aquinas__Q1_60.txt,Aquinas,Q1 60,,aquinas/q1.60.txt,20174,2968
CLTK__Aquinas__Q1_61.txt,Aquinas,Q1 61,,aquinas/q1.61.txt,11277,1685
CLTK__Aquinas__Q1_62.txt,Aquinas,Q1 62,,aquinas/q1.62.txt,33498,4850
CLTK__Aquinas__Q1_63.txt,Aquinas,Q1 63,,aquinas/q1.63.txt,37545,5484
CLTK__Aquinas__Q1_64.txt,Aquinas,Q1 64,,aquinas/q1.64.txt,20468,2978
CLTK__Aquinas__Q1_65.txt,Aquinas,Q1 65,,aquinas/q1.65.txt,19801,2850
CLTK__Aquinas__Q1_66.txt,Aquinas,Q1 66,,aquinas/q1.66.txt,25423,3626
CLTK__Aquinas__Q1_67.txt,Aquinas,Q1 67,,aquinas/q1.67.txt,17120,2506
CLTK__Aquinas__Q1_68.txt,Aquinas,Q1 68,,aquinas/q1.68.txt,21212,3013
CLTK__Aquinas__Q1_69.txt,Aquinas,Q1 69,,aquinas/q1.69.txt,12824,1807
CLTK__Aquinas__Q1_7.txt,Aquinas,Q1 7,,aquinas/q1.7.txt,16782,2430
CLTK__Aquinas__Q1_70.txt,Aquinas,Q1 70,,aquinas/q1.70.txt,18650,2710
CLTK__Aquinas__Q1_71.txt,Aquinas,Q1 71,,aquinas/q1.71.txt,5503,790
CLTK__Aquinas__Q1_72.txt,Aquinas,Q1 72,,aquinas/q1.72.txt,6163,861
CLTK__Aquinas__Q1_73.txt,Aquinas,Q1 73,,aquinas/q1.73.txt,11248,1611
CLTK__Aquinas__Q1_74.txt,Aquinas,Q1 74,,aquinas/q1.74.txt,18923,2764
CLTK__Aquinas__Q1_8.txt,Aquinas,Q1 8,,aquinas/q1.8.txt,16949,2677
CLTK__Aquinas__Q1_80.txt,Aquinas,Q1 80,,aquinas/q1.80.txt,7281,987
CLTK__Aquinas__Q1_81.txt,Aquinas,Q1 81,,aquinas/q1.81.txt,12732,1693
CLTK__Aquinas__Q1_82.txt,Aquinas,Q1 82,,aquinas/q1.82.txt,21733,3026
CLTK__Aquinas__Q1_83.txt,Aquinas,Q1 83,,aquinas/q1.83.txt,16190,2340
CLTK__Aquinas__Q1_86.txt,Aquinas,Q1 86,,aquinas/q1.86.txt,15801,2156
CLTK__Aquinas__Q1_87.txt,Aquinas,Q1 87,,aquinas/q1.87.txt,17985,2599
CLTK__Aquinas__Q1_9.txt,Aquinas,Q1 9,,aquinas/q1.9.txt,9618,1418
CLTK__Arbroath__Arbroath.txt,Arbroath,Arbroath,,arbroath.txt,7668,1050
CLTK__Archpoet__Archpoet.txt,Archpoet,Archpoet,,archpoet.txt,31465,4519
